time,AC_mean,CH_mean,AC_energy_per_area,CH_energy_per_area
5.384219385366562705e+01,2.260154574525122806e-01,2.260154574525122251e-01,6.539271969309279689e-03,1.367602099381502179e-01
5.842407887168661063e+01,2.260154574525122528e-01,2.260154574525122528e-01,4.967480343989305602e-03,1.350038462361310976e-01
6.339587501360092858e+01,2.260154574525122528e-01,2.260154574525122528e-01,3.686232633570359594e-03,1.331884899860172333e-01
6.879076309558745095e+01,2.260154574525122251e-01,2.260154574525122528e-01,2.666886494575233454e-03,1.313187159948270011e-01
7.464474756848137815e+01,2.260154574525122251e-01,2.260154574525122528e-01,1.876995981538409153e-03,1.293999868250602370e-01
8.099689680459016472e+01,2.260154574525122251e-01,2.260154574525122528e-01,1.282156803369441725e-03,1.274386436956550794e-01
8.788960383253525777e+01,2.260154574525122528e-01,2.260154574525122528e-01,8.478777984829092684e-04,1.254418714055149653e-01
9.536886926021391275e+01,2.260154574525122251e-01,2.260154574525122528e-01,5.413037568415102847e-04,1.234176343381813146e-01
1.034846082740547644e+02,2.260154574525122806e-01,2.260154574525122806e-01,3.326318268842069466e-04,1.213745815697443720e-01
1.122909837634216643e+02,2.260154574525122806e-01,2.260154574525122528e-01,1.961056851762503386e-04,1.193219204268137490e-01
1.218467677933740703e+02,2.260154574525122806e-01,2.260154574525122806e-01,1.105321780009495020e-04,1.172692595069940447e-01
1.322157338381841782e+02,2.260154574525122251e-01,2.260154574525122528e-01,5.933318250120111153e-05,1.152264241177562987e-01
1.434670823933022348e+02,2.260154574525122528e-01,2.260154574525122528e-01,3.020742654389978031e-05,1.132032491992569223e-01
1.556759028062226946e+02,2.260154574525122251e-01,2.260154574525122806e-01,1.452045843307167892e-05,1.112093569120945480e-01
1.689236744084223858e+02,2.260154574525122806e-01,2.260154574525122528e-01,6.558043327992705546e-06,1.092539279903010085e-01
1.832988102928289891e+02,2.260154574525122528e-01,2.260154574525122528e-01,2.768163578331858869e-06,1.073454774560561320e-01
1.988972473658868125e+02,2.260154574525122528e-01,2.260154574525122528e-01,1.085757508433676914e-06,1.054916461391178367e-01
2.158230866121144800e+02,2.260154574525122528e-01,2.260154574525122528e-01,3.932646646107803640e-07,1.036990194470612803e-01
2.341892878441574908e+02,2.260154574525122806e-01,2.260154574525122528e-01,1.306485323074755974e-07,1.019729838665272281e-01
2.541184235749647087e+02,2.260154574525122528e-01,2.260154574525122528e-01,3.951825093890465916e-08,1.003176297151127105e-01
2.757434970432883006e+02,2.260154574525122528e-01,2.260154574525122251e-01,1.079689082579077576e-08,9.873570580384402606e-02
2.992088298518499414e+02,2.260154574525122528e-01,2.260154574525122528e-01,2.641477019171793087e-09,9.722862813266536230e-02
3.246710251421046109e+02,2.260154574525122806e-01,2.260154574525122528e-01,5.732728602310658195e-10,9.579654085711256095e-02
3.523000127336428591e+02,2.260154574525122528e-01,2.260154574525122251e-01,1.092482203065648100e-10,9.443842393778782707e-02
3.822801832032936318e+02,2.260154574525122528e-01,2.260154574525122251e-01,1.808010776796633676e-11,9.315223854111495672e-02
4.148116184725539597e+02,2.260154574525122528e-01,2.260154574525122528e-01,2.567483405242050564e-12,9.193509878706102034e-02
4.501114271160503222e+02,2.260154574525122528e-01,2.260154574525122806e-01,3.087997349357516190e-13,9.078345712682456270e-02
4.884151933026257097e+02,2.260154574525122806e-01,2.260154574525122528e-01,3.101487687600962380e-14,8.969329062608234759e-02
5.299785490390073619e+02,2.260154574525122528e-01,2.260154574525122528e-01,2.561686022847736144e-15,8.866027669904326391e-02
5.750788802089083447e+02,2.260154574525122528e-01,2.260154574525122528e-01,1.711261584471752394e-16,8.767994917956029033e-02
6.240171777933425119e+02,2.260154574525122528e-01,2.260154574525122528e-01,9.080263373300128109e-18,8.674782866928820724e-02
6.771200466268419405e+02,2.260154574525122806e-01,2.260154574525122528e-01,3.752852288738617689e-19,8.585952441212207908e-02
7.347418850956319147e+02,2.260154574525122528e-01,2.260154574525122806e-01,1.182689237968282367e-20,8.501080803209051795e-02
7.972672503246525366e+02,2.260154574525122806e-01,2.260154574525122806e-01,2.777188892512915725e-22,8.419766193237938900e-02
8.651134246382316633e+02,2.260154574525122251e-01,2.260154574525122528e-01,4.739060230714563836e-24,8.341630673051760037e-02
9.387332004224770117e+02,2.260154574525122806e-01,2.260154574525122251e-01,5.719153372916904230e-26,8.266321273863301566e-02
1.018617901975028417e+03,2.260154574525122528e-01,2.260154574525122528e-01,4.739449275454082902e-28,8.193510031653583603e-02
1.105300664509407397e+03,2.260154574525122528e-01,2.260154574525122528e-01,2.611610889785577237e-30,8.122893318900006876e-02
1.199359992197437123e+03,2.260154574525122251e-01,2.260154574525122528e-01,9.511352258039151127e-33,8.054190783015832689e-02
1.301423618995381958e+03,2.260154574525122251e-01,2.260154574525122806e-01,2.106620186086670276e-36,7.987144103800138117e-02
1.412172698020283406e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.921515701420890621e-02
1.532346347435514417e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.857087468589660229e-02
1.662746583184007477e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.793659563396954093e-02
1.804243671489178951e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.731049276900874012e-02
1.957781936845220798e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.669089976204214454e-02
2.124386064258063925e+03,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,7.607630115564785467e-02
2.305167937797082686e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.546532303247603657e-02
2.501334061096599271e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.485672409704156871e-02
